gp_low,grp_low,gp_high,grp_high,original_selectivity,plan_rows,calculated_ratio
0.044,0.464,0.677,0.502,0.213051479,440469,0.21224762198471517
0.047,0.33,0.46,0.568,0.93935263,1925556,0.9278625328874455
0.236,0.434,0.478,0.462,0.037883464,94298,0.0454391256999123
0.217,0.33,0.509,0.506,0.139674614,339653,0.16366768501296222
0.308,0.442,0.406,0.454,0.006085505,13643,0.006574116014378921
0.061,0.135,0.663,0.938,0.986738523,2018716,0.9727532935632162
0.225,0.102,0.698,0.818,0.191844488,390034,0.18794464308086697
0.133,0.405,0.541,0.559,0.446261406,954525,0.45995441535036574
0.0,0.158,0.75,0.679,0.985283765,2040269,0.9831389801759779
0.17,0.0,0.38,0.902,0.384824738,802191,0.3865496371538988
0.0,0.08,0.583,0.757,0.984727208,2038034,0.9820620066883186
0.3,0.162,0.434,0.815,0.066527118,135935,0.06550263581430761
0.235,0.211,0.482,0.753,0.159391189,329364,0.1587097520310708
0.003,0.202,0.731,0.776,0.987028607,2019474,0.9731185490010891
0.074,0.234,0.709,0.694,0.985624927,2016976,0.9719148444050384
0.0,0.099,0.593,0.905,0.985418687,2040017,0.9830175496082418
0.01,0.004,1.0,0.832,0.987430966,2027377,0.9769267465281458
0.166,0.282,0.303,0.648,0.343092115,709915,0.3420848471998689
0.19,0.354,0.521,0.544,0.325623452,702708,0.3386120293360832
0.21,0.049,0.511,0.788,0.233502903,484410,0.2334213544326976
0.299,0.041,0.436,0.796,0.067898995,138703,0.06683644459007546
0.322,0.0,0.394,0.913,0.036487976,73360,0.03534978749650646
0.0,0.229,0.746,0.671,0.984830327,2039407,0.9827236105355474
0.0,0.288,0.837,0.664,0.984508922,2041063,0.9835215828378131
0.126,0.034,0.635,0.874,0.514237982,1056244,0.508969478523173
0.205,0.429,0.534,0.551,0.185200016,378539,0.18240557809623853
0.007,0.271,0.672,0.565,0.945634256,1934022,0.9319420217225793
0.27,0.196,0.427,0.706,0.099333143,205375,0.09896350336825266
0.242,0.494,0.504,0.779,0.061840474,84701,0.040814644911962836
0.132,0.186,0.603,0.777,0.492111587,1012521,0.48790079315362894
0.155,0.0,0.552,0.857,0.441459596,920323,0.4434735888515174
0.098,0.181,0.736,1.0,0.935788738,1914089,0.9223369601881211
0.099,0.024,0.803,0.926,0.926558083,1900245,0.9156659888399525
